genres,title,id
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,761140
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,643980
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,670290
"['Action', 'Adventure', 'Casual']",弹炸人2222,767400
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,772540
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,774276
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,774277
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,774278
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,768800
"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,768570
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380
"['Casual', 'Indie']",Beach Rules,768880
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,765320
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,773650
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,774271
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,773690
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,774279
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,768060
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,775880
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,775881
"['Action', 'Indie']",DinoBlaster,653960
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,282010
['Action'],Half-Life,70
"['Action', 'Indie', 'RPG']",Fallen Mage,752360
"['Casual', 'Indie', 'Strategy']",Lost Cities,520680
['Action'],Twisted Enhanced Edition,690410
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,766850
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,413120
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,773120
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,754360
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,716110
['Strategy'],Disciples II: Gallean's Return,1640
['Strategy'],Disciples II: Rise of the Elves,1630
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2400
['Strategy'],United Tactics,662570
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,381620
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,714020
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,759920
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,659780
